folder	repo	path	status
google-analytics	OpenClaudia/openclaudia-skills	skills/google-analytics/SKILL.md	ok
google-reviews	OpenClaudia/openclaudia-skills	skills/google-reviews/SKILL.md	ok
growth-strategy	OpenClaudia/openclaudia-skills	skills/growth-strategy/SKILL.md	ok
hubspot	OpenClaudia/openclaudia-skills	skills/hubspot/SKILL.md	ok
i18n	OpenClaudia/openclaudia-skills	skills/i18n/SKILL.md	ok
icp-builder	OpenClaudia/openclaudia-skills	skills/icp-builder/SKILL.md	ok
keyword-research	OpenClaudia/openclaudia-skills	skills/keyword-research/SKILL.md	ok
openclaudia-skills-launch-strategy	OpenClaudia/openclaudia-skills	skills/launch-strategy/SKILL.md	ok
lead-magnet	OpenClaudia/openclaudia-skills	skills/lead-magnet/SKILL.md	ok
linkedin-ads	OpenClaudia/openclaudia-skills	skills/linkedin-ads/SKILL.md	ok
linkedin-content	OpenClaudia/openclaudia-skills	skills/linkedin-content/SKILL.md	ok
openclaudia-skills-marketing-ideas	OpenClaudia/openclaudia-skills	skills/marketing-ideas/SKILL.md	ok
newsletter	OpenClaudia/openclaudia-skills	skills/newsletter/SKILL.md	ok
openclaudia-skills-onboarding-cro	OpenClaudia/openclaudia-skills	skills/onboarding-cro/SKILL.md	ok
openclaudia-skills-page-cro	OpenClaudia/openclaudia-skills	skills/page-cro/SKILL.md	ok
podcast-marketing	OpenClaudia/openclaudia-skills	skills/podcast-marketing/SKILL.md	ok
openclaudia-skills-pricing-strategy	OpenClaudia/openclaudia-skills	skills/pricing-strategy/SKILL.md	ok
product-marketing	OpenClaudia/openclaudia-skills	skills/product-marketing/SKILL.md	ok
openclaudia-skills-programmatic-seo	OpenClaudia/openclaudia-skills	skills/programmatic-seo/SKILL.md	ok
reddit-marketing	OpenClaudia/openclaudia-skills	skills/reddit-marketing/SKILL.md	ok
openclaudia-skills-referral-program	OpenClaudia/openclaudia-skills	skills/referral-program/SKILL.md	ok
openclaudia-skills-schema-markup	OpenClaudia/openclaudia-skills	skills/schema-markup/SKILL.md	ok
search-console	OpenClaudia/openclaudia-skills	skills/search-console/SKILL.md	ok
semrush-research	OpenClaudia/openclaudia-skills	skills/semrush-research/SKILL.md	ok
openclaudia-skills-seo-audit	OpenClaudia/openclaudia-skills	skills/seo-audit/SKILL.md	ok
seo-content-brief	OpenClaudia/openclaudia-skills	skills/seo-content-brief/SKILL.md	ok
serp-analyzer	OpenClaudia/openclaudia-skills	skills/serp-analyzer/SKILL.md	ok
openclaudia-skills-signup-flow-cro	OpenClaudia/openclaudia-skills	skills/signup-flow-cro/SKILL.md	ok
slack-bot	OpenClaudia/openclaudia-skills	skills/slack-bot/SKILL.md	ok
openclaudia-skills-social-content	OpenClaudia/openclaudia-skills	skills/social-content/SKILL.md	ok
stock-images	OpenClaudia/openclaudia-skills	skills/stock-images/SKILL.md	ok
telegram-bot	OpenClaudia/openclaudia-skills	skills/telegram-bot/SKILL.md	ok
thread-writer	OpenClaudia/openclaudia-skills	skills/thread-writer/SKILL.md	ok
video-ad-analysis	OpenClaudia/openclaudia-skills	skills/video-ad-analysis/SKILL.md	ok
write-blog	OpenClaudia/openclaudia-skills	skills/write-blog/SKILL.md	ok
write-landing	OpenClaudia/openclaudia-skills	skills/write-landing/SKILL.md	ok
youtube-analytics	OpenClaudia/openclaudia-skills	skills/youtube-analytics/SKILL.md	ok
geo-content-optimizer	aaron-he-zhu/seo-geo-claude-skills	build/geo-content-optimizer/SKILL.md	ok
meta-tags-optimizer	aaron-he-zhu/seo-geo-claude-skills	build/meta-tags-optimizer/SKILL.md	ok
schema-markup-generator	aaron-he-zhu/seo-geo-claude-skills	build/schema-markup-generator/SKILL.md	ok
seo-content-writer	aaron-he-zhu/seo-geo-claude-skills	build/seo-content-writer/SKILL.md	ok
content-quality-auditor	aaron-he-zhu/seo-geo-claude-skills	cross-cutting/content-quality-auditor/SKILL.md	ok
domain-authority-auditor	aaron-he-zhu/seo-geo-claude-skills	cross-cutting/domain-authority-auditor/SKILL.md	ok
entity-optimizer	aaron-he-zhu/seo-geo-claude-skills	cross-cutting/entity-optimizer/SKILL.md	ok
memory-management	aaron-he-zhu/seo-geo-claude-skills	cross-cutting/memory-management/SKILL.md	ok
alert-manager	aaron-he-zhu/seo-geo-claude-skills	monitor/alert-manager/SKILL.md	ok
backlink-analyzer	aaron-he-zhu/seo-geo-claude-skills	monitor/backlink-analyzer/SKILL.md	ok
performance-reporter	aaron-he-zhu/seo-geo-claude-skills	monitor/performance-reporter/SKILL.md	ok
rank-tracker	aaron-he-zhu/seo-geo-claude-skills	monitor/rank-tracker/SKILL.md	ok
content-refresher	aaron-he-zhu/seo-geo-claude-skills	optimize/content-refresher/SKILL.md	ok
internal-linking-optimizer	aaron-he-zhu/seo-geo-claude-skills	optimize/internal-linking-optimizer/SKILL.md	ok
on-page-seo-auditor	aaron-he-zhu/seo-geo-claude-skills	optimize/on-page-seo-auditor/SKILL.md	ok
technical-seo-checker	aaron-he-zhu/seo-geo-claude-skills	optimize/technical-seo-checker/SKILL.md	ok
seo-geo-claude-skills-competitor-analysis	aaron-he-zhu/seo-geo-claude-skills	research/competitor-analysis/SKILL.md	ok
seo-geo-claude-skills-content-gap-analysis	aaron-he-zhu/seo-geo-claude-skills	research/content-gap-analysis/SKILL.md	ok
seo-geo-claude-skills-keyword-research	aaron-he-zhu/seo-geo-claude-skills	research/keyword-research/SKILL.md	ok
serp-analysis	aaron-he-zhu/seo-geo-claude-skills	research/serp-analysis/SKILL.md	ok
seo-image-gen	AgriciDaniel/claude-seo	extensions/banana/skills/seo-image-gen/SKILL.md	ok
seo-dataforseo	AgriciDaniel/claude-seo	extensions/dataforseo/skills/seo-dataforseo/SKILL.md	ok
seo-firecrawl	AgriciDaniel/claude-seo	extensions/firecrawl/skills/seo-firecrawl/SKILL.md	ok
claude-seo-seo-audit	AgriciDaniel/claude-seo	skills/seo-audit/SKILL.md	ok
seo-backlinks	AgriciDaniel/claude-seo	skills/seo-backlinks/SKILL.md	ok
seo-cluster	AgriciDaniel/claude-seo	skills/seo-cluster/SKILL.md	ok
seo-competitor-pages	AgriciDaniel/claude-seo	skills/seo-competitor-pages/SKILL.md	ok
seo-content	AgriciDaniel/claude-seo	skills/seo-content/SKILL.md	ok
claude-seo-seo-dataforseo	AgriciDaniel/claude-seo	skills/seo-dataforseo/SKILL.md	ok
seo-drift	AgriciDaniel/claude-seo	skills/seo-drift/SKILL.md	ok
seo-ecommerce	AgriciDaniel/claude-seo	skills/seo-ecommerce/SKILL.md	ok
seo-geo	AgriciDaniel/claude-seo	skills/seo-geo/SKILL.md	ok
seo-google	AgriciDaniel/claude-seo	skills/seo-google/SKILL.md	ok
seo-hreflang	AgriciDaniel/claude-seo	skills/seo-hreflang/SKILL.md	ok
claude-seo-seo-image-gen	AgriciDaniel/claude-seo	skills/seo-image-gen/SKILL.md	ok
seo-images	AgriciDaniel/claude-seo	skills/seo-images/SKILL.md	ok
seo-local	AgriciDaniel/claude-seo	skills/seo-local/SKILL.md	ok
seo-maps	AgriciDaniel/claude-seo	skills/seo-maps/SKILL.md	ok
seo-page	AgriciDaniel/claude-seo	skills/seo-page/SKILL.md	ok
seo-plan	AgriciDaniel/claude-seo	skills/seo-plan/SKILL.md	ok
seo-programmatic	AgriciDaniel/claude-seo	skills/seo-programmatic/SKILL.md	ok
seo-schema	AgriciDaniel/claude-seo	skills/seo-schema/SKILL.md	ok
seo-sitemap	AgriciDaniel/claude-seo	skills/seo-sitemap/SKILL.md	ok
seo-sxo	AgriciDaniel/claude-seo	skills/seo-sxo/SKILL.md	ok
seo-technical	AgriciDaniel/claude-seo	skills/seo-technical/SKILL.md	ok
seo	AgriciDaniel/claude-seo	skills/seo/SKILL.md	ok
marketing-skill	alirezarezvani/claude-skills	marketing-skill/SKILL.md	ok
claude-skills-ab-test-setup	alirezarezvani/claude-skills	marketing-skill/ab-test-setup/SKILL.md	ok
claude-skills-ad-creative	alirezarezvani/claude-skills	marketing-skill/ad-creative/SKILL.md	ok
claude-skills-ai-seo	alirezarezvani/claude-skills	marketing-skill/ai-seo/SKILL.md	ok
claude-skills-analytics-tracking	alirezarezvani/claude-skills	marketing-skill/analytics-tracking/SKILL.md	ok
app-store-optimization	alirezarezvani/claude-skills	marketing-skill/app-store-optimization/SKILL.md	ok
brand-guidelines	alirezarezvani/claude-skills	marketing-skill/brand-guidelines/SKILL.md	ok
campaign-analytics	alirezarezvani/claude-skills	marketing-skill/campaign-analytics/SKILL.md	ok
claude-skills-churn-prevention	alirezarezvani/claude-skills	marketing-skill/churn-prevention/SKILL.md	ok
claude-skills-cold-email	alirezarezvani/claude-skills	marketing-skill/cold-email/SKILL.md	ok
claude-skills-competitor-alternatives	alirezarezvani/claude-skills	marketing-skill/competitor-alternatives/SKILL.md	ok
content-creator	alirezarezvani/claude-skills	marketing-skill/content-creator/SKILL.md	ok
content-humanizer	alirezarezvani/claude-skills	marketing-skill/content-humanizer/SKILL.md	ok
content-production	alirezarezvani/claude-skills	marketing-skill/content-production/SKILL.md	ok
claude-skills-content-strategy	alirezarezvani/claude-skills	marketing-skill/content-strategy/SKILL.md	ok
claude-skills-copy-editing	alirezarezvani/claude-skills	marketing-skill/copy-editing/SKILL.md	ok
claude-skills-copywriting	alirezarezvani/claude-skills	marketing-skill/copywriting/SKILL.md	ok
claude-skills-email-sequence	alirezarezvani/claude-skills	marketing-skill/email-sequence/SKILL.md	ok
claude-skills-form-cro	alirezarezvani/claude-skills	marketing-skill/form-cro/SKILL.md	ok
claude-skills-free-tool-strategy	alirezarezvani/claude-skills	marketing-skill/free-tool-strategy/SKILL.md	ok
claude-skills-launch-strategy	alirezarezvani/claude-skills	marketing-skill/launch-strategy/SKILL.md	ok
marketing-context	alirezarezvani/claude-skills	marketing-skill/marketing-context/SKILL.md	ok
marketing-demand-acquisition	alirezarezvani/claude-skills	marketing-skill/marketing-demand-acquisition/SKILL.md	ok
claude-skills-marketing-ideas	alirezarezvani/claude-skills	marketing-skill/marketing-ideas/SKILL.md	ok
marketing-ops	alirezarezvani/claude-skills	marketing-skill/marketing-ops/SKILL.md	ok
claude-skills-marketing-psychology	alirezarezvani/claude-skills	marketing-skill/marketing-psychology/SKILL.md	ok
marketing-strategy-pmm	alirezarezvani/claude-skills	marketing-skill/marketing-strategy-pmm/SKILL.md	ok
claude-skills-onboarding-cro	alirezarezvani/claude-skills	marketing-skill/onboarding-cro/SKILL.md	ok
claude-skills-page-cro	alirezarezvani/claude-skills	marketing-skill/page-cro/SKILL.md	ok
claude-skills-paid-ads	alirezarezvani/claude-skills	marketing-skill/paid-ads/SKILL.md	ok
claude-skills-paywall-upgrade-cro	alirezarezvani/claude-skills	marketing-skill/paywall-upgrade-cro/SKILL.md	ok
claude-skills-popup-cro	alirezarezvani/claude-skills	marketing-skill/popup-cro/SKILL.md	ok
claude-skills-pricing-strategy	alirezarezvani/claude-skills	marketing-skill/pricing-strategy/SKILL.md	ok
claude-skills-programmatic-seo	alirezarezvani/claude-skills	marketing-skill/programmatic-seo/SKILL.md	ok
prompt-engineer-toolkit	alirezarezvani/claude-skills	marketing-skill/prompt-engineer-toolkit/SKILL.md	ok
claude-skills-referral-program	alirezarezvani/claude-skills	marketing-skill/referral-program/SKILL.md	ok
claude-skills-schema-markup	alirezarezvani/claude-skills	marketing-skill/schema-markup/SKILL.md	ok
claude-skills-seo-audit	alirezarezvani/claude-skills	marketing-skill/seo-audit/SKILL.md	ok
claude-skills-signup-flow-cro	alirezarezvani/claude-skills	marketing-skill/signup-flow-cro/SKILL.md	ok
claude-skills-site-architecture	alirezarezvani/claude-skills	marketing-skill/site-architecture/SKILL.md	ok
claude-skills-social-content	alirezarezvani/claude-skills	marketing-skill/social-content/SKILL.md	ok
social-media-analyzer	alirezarezvani/claude-skills	marketing-skill/social-media-analyzer/SKILL.md	ok
social-media-manager	alirezarezvani/claude-skills	marketing-skill/social-media-manager/SKILL.md	ok
video-content-strategist	alirezarezvani/claude-skills	marketing-skill/video-content-strategist/SKILL.md	ok
x-twitter-growth	alirezarezvani/claude-skills	marketing-skill/x-twitter-growth/SKILL.md	ok
